#,긴급(여기에 O표시),발생시각KST,나이h,분류,cross,rc,grade,속보태그,breaking,제목
84,,06-21 08:03,30.8,국제,16,4,2,,,"트럼프 “60일 내 합의 없다면, 호르무즈 원유 수송 중단 가능성 있어”"
85,,06-21 08:03,30.8,국제,15,2,2,,,트럼프 특사 스위스로 출발…이란과 협상 재시동
86,,06-21 07:33,31.3,국제,15,1,2,,,"트럼프 “60일 내 합의 없다면, 호르무즈 원유 수송 중단 가능성 있어”"
87,,06-21 07:17,31.5,국제,15,1,3,,,"이스라엘, 헤즈볼라 공격에 5명 사망…휴전 발표 후 또 레바논 공습"
88,,06-21 07:10,31.7,국제,15,1,2,,,"주미 이스라엘 대사, “레바논 내 모든 공격 작전 중단”"
89,,06-21 06:33,32.3,국제,15,2,2,,,"트럼프 “60일 내 합의 없다면, 호르무즈 원유 수송 중단 가능성 있어”"
90,,06-21 06:17,32.5,정치,15,34,2,,,"與 “이화영 위증, 항소심서 무죄날 것…특검 계속 추진”"
91,,06-21 06:17,32.5,국제,15,1,2,,,"이란 외무부 ""협상 대표단 스위스로 갈 것"""
92,,06-21 05:17,33.5,사회,14,1,2,,,"‘연어 술파티 위증’ 이화영 징역 4개월에, 국힘 “李·여당의 대국민 사기극"""
93,,06-21 05:03,33.8,국제,15,3,2,,,"주미 이스라엘 대사, “레바논 내 모든 공격 작전 중단”"
94,,06-21 05:03,33.8,사회,13,1,2,,,"‘연어 술파티 위증’ 이화영 징역 4개월에, 국힘 “李·여당의 대국민 사기극"""
95,,06-21 04:32,34.3,사회,14,1,1,,,"이화영 변호인단 “연어 술파티 유죄, 법무부가 미진하게 행동한 탓”"
96,,06-21 04:32,34.3,,5,5,2,,,"노벨상 받은 구글 딥마인드 핵심 인재, 앤트로픽 합류"
97,,06-21 04:03,34.8,국제,16,2,2,,,이란 대표단·밴스 모두 스위스행…美·이란 후속 협상 착수
98,,06-21 04:03,34.8,사회,13,1,1,,,"이화영 변호인단 “연어 술파티 유죄, 법무부가 미진하게 행동한 탓”"
99,,06-21 02:18,36.5,국제,5,18,0,,,From the US-Mexico border to protests in Poland: highlights of PhotoEspaña 2026
100,,06-21 02:02,36.8,국제,16,4,3,,,"이란군 “호르무즈 다시 봉쇄… 美·이스라엘 종전 합의 위반"""
101,,06-21 01:48,37.0,국제,15,1,3,,,"이스라엘, 헤즈볼라 공격에 5명 사망…휴전 발표 후 또 레바논 공습"
102,,06-21 01:03,37.8,국제,16,2,2,,,"“이란 대표단 스위스행 보류, 이스라엘의 레바논 공습때문”"
103,,06-21 00:32,38.3,국제,16,2,3,,,전쟁으로 경제 불 질러놓고… 트럼프 “세계 공황 막으려 종전 합의”
104,,06-20 23:47,39.0,사회,14,5,2,,,‘연어 술자리 위증’ 이화영 1심 징역 4개월...“진술 일관성 없어”
105,,06-20 23:17,39.5,국제,15,1,2,,,"레바논 휴전 발효 뒤 이스라엘 무인기 공격, 2명 사망"
106,,06-20 22:48,40.0,국제,15,2,3,,,“이스라엘·헤즈볼라 휴전 합의… 19일 오후 4시 발효”
107,,06-20 22:32,40.3,국제,11,1,3,,,“이스라엘·헤즈볼라 휴전 합의… 19일 오후 4시 발효”
108,,06-20 22:32,40.3,,6,1,3,Y,Y,"[속보] 이란군 ""호르무즈 다시 봉쇄…미·이스라엘 탓"""
109,,06-20 21:03,41.8,국제,11,3,3,,,“이스라엘·헤즈볼라 휴전 합의… 19일 오후 4시 발효”
110,,06-20 20:18,42.5,국제,16,6,2,,,이란 “호르무즈 재봉쇄…미·이스라엘이 종전 MOU 위반한 탓”
111,,06-20 20:02,42.8,국제,9,1,3,,Y,"이스라엘, 헤즈볼라 공격에 5명 사망…휴전 발표 후 또 레바논 공습"
112,,06-20 20:02,42.8,,5,6,2,,,트럼프 특사 스위스로 출발…이란과 협상 재시동
113,,06-20 19:03,43.8,사회,14,5,2,,,‘연어 술자리 위증’ 이화영 1심 징역 4개월...“진술 일관성 없어”
114,,06-20 19:03,43.8,국제,10,1,2,,,"美-이란, 후속 협상 삐걱…백악관 “밴스 스위스 방문 연기”"
115,,06-20 18:47,44.0,국제,12,1,2,,,"美-이란, 후속 협상 삐걱…백악관 “밴스 스위스 방문 연기”"
116,,06-20 17:03,45.8,국제,12,1,2,,,"‘60일 협상’ 시계 시작됐지만···미·이란 MOU 협상, 곳곳이 파행 위기"
117,,06-20 16:48,46.0,국제,12,1,3,,,"이스라엘, 헤즈볼라 공격에 5명 사망…휴전 발표 후 또 레바논 공습"
118,,06-20 16:33,46.3,국제,13,1,3,,,"이스라엘, 헤즈볼라 공격에 5명 사망…휴전 발표 후 또 레바논 공습"
119,,06-20 15:48,47.0,정치,5,39,2,,,"김 총리 ""선관위 개혁, 필요하면 원포인트 개헌도""[뉴시스Pic]"
120,,06-20 15:32,47.3,국제,14,2,3,,,"이스라엘, 헤즈볼라 공격에 5명 사망…휴전 발표 후 또 레바논 공습"
121,,06-20 15:03,47.8,사회,15,5,2,,,‘연어 술자리 위증’ 이화영 1심 징역 4개월...“진술 일관성 없어”
122,,06-20 12:47,50.0,정치,15,6,1,,,"법원, 국회 불출석 '멋쟁해병' 송호종에 벌금 500만원 선고"
