#,긴급(여기에 O표시),발생시각KST,나이h,분류,cross,rc,grade,속보태그,breaking,제목
426,,06-17 09:47,125.0,국제,6,1,3,,,美 ‘하늘의 자존심’ 추락했다... B-52 폭격기 이륙 중 참사
427,,06-17 09:47,125.0,사회,5,6,1,,,술값 시비에 앙심... 노래방 업주 흉기로 찌른 30대 긴급체포
428,,06-17 09:47,125.0,경제,5,3,0,,,"[특징주] E8, AI 스마트 밥솥 국책과제 선정에 장초반 강세"
429,,06-17 09:47,125.0,국제,5,1,2,,,호르무즈 놓고 엇갈린 G7… 트럼프 “곧 개방” vs 유럽 “아직”
430,,06-17 09:33,125.3,,6,4,0,,,조현준 효성 회장 “AI 데이터센터 사업에 그룹 핵심 역량 집중”
431,,06-17 09:18,125.5,,8,12,1,,,"SK하이닉스, 학위보다 실력 본다… 신입 채용 학력 자격요건 삭제"
432,,06-17 09:18,125.5,경제,7,4,2,,,인터넷은행 3사도 ‘빚투’ 차단 나선다… 신용대출 한도 줄이고 ‘마통’ 판매중단
433,,06-17 09:18,125.5,,6,5,0,,,"LG전자, 스페인·세르비아서 1500세대 규모 히트펌프 수주…""유럽 시장 공략 박차"""
434,,06-17 09:18,125.5,경제,5,2,1,,,"한화, KAI 지분 총 9.04% 확보 2대 주주로… “연말까지 12%”"
435,,06-17 09:02,125.8,정치,9,5,0,,,"BNK證 “LIG디펜스앤에어로스페이스, 합작법인 통해 유럽 방산 시장 겨냥… 목표가 118만원 유지”"
436,,06-17 09:02,125.8,국제,9,2,3,,,"B-52 폭격기, 美공군기지서 이륙 직후 추락…탑승자 8명 전원 사망"
437,,06-17 09:02,125.8,,5,3,0,,,"에이비엘바이오 위암 신약 후보물질 ‘지바스토미그’, FDA 패스트트랙 지정"
438,,06-17 09:02,125.8,국제,5,6,3,,,美 FBI “백악관 UFC 행사 겨냥 드론·총기 공격 모의 적발해 용의자 5명 체포”
439,,06-17 08:47,126.0,,8,2,0,,,[마켓라이브] 코스피 0.96% 하락 중…FOMC 경계감 속 조선·철강 순환매 [오전 10시 시황]
440,,06-17 08:47,126.0,,7,7,1,,,"법원, 회생 신청 중앙그룹 5개사 대표자 심문 기일 23일 지정"
441,,06-17 08:47,126.0,,7,2,0,,,"‘2002년 복수 성공’ 우승후보 프랑스, 음바페 멀티골로 세네갈 3대1 제압"
442,,06-17 08:47,126.0,경제,6,7,1,,,스페이스X 주가 '로켓상승' … 서학개미 1조원 폭풍 매수
443,,06-17 08:47,126.0,,5,3,0,,,"LS일렉, 빅테크 AI 데이터센터 7천만달러 규모 배전사업 수주"
444,,06-17 08:17,126.5,정치,11,5,2,,,"오세훈, 장동혁 ‘전국 재선거’ 주장에 “정치적 입지 지키려 정략적 구호” 반발"
445,,06-17 08:17,126.5,국제,7,3,2,,,"이란 외무 ""전쟁 종식 합의는 이스라엘의 레바논 점령 종식도 포함""(1보)"
446,,06-17 08:17,126.5,사회,6,5,2,,,"'여론조사 비용 대납 의혹' 오세훈 1심, 오늘 변론 종결…검찰 구형"
447,,06-17 08:17,126.5,경제,5,9,0,,,"중기중앙회·LG CNS, 中企 AI 확산 협력 본격화"
448,,06-17 07:55,126.9,정치,12,6,2,,,李대통령 제네바 도착…오늘 프랑스 에비앙 G7 정상회의 참석
449,,06-17 07:47,127.0,국제,6,1,2,,,[미·이란 종전] 네타냐후 “싸움 아직 안 끝나… 레바논 계속 주둔”
450,,06-17 07:17,127.5,국제,14,11,2,,,"美 ""헤즈볼라, MOU와 별개"" 고수…'이스라엘 레바논 先철군' 어려울 듯"
451,,06-17 07:02,127.8,국제,11,8,0,,,"코스피, 1.58%↑ 8,864 마감…종가기준 사상 최고치"
452,,06-17 06:48,128.0,,6,4,0,,,"‘음바페 월드컵 13-14호골 연속 작렬’ 강력한 우승후보 프랑스, 첫 경기서 세네갈 3-1 격파"
453,,06-17 06:33,128.3,국제,5,2,2,,,이란 “호르무즈 해협에 ‘통행료(tolls)’는 없지만 ‘수수료(fees)’는 있을 것”
454,,06-17 06:18,128.5,,13,4,1,,,"[뉴공 아카이브]퍼니포: 역대 최장기 기록, 이화영 국민참여재판 시작… 쟁점은? 이화영 ‘연어 술파티’, 1313호 검사실 ‘현장 검증’ 상황은? 종합특검, ‘김건희 주가조작 봐주기’ 의혹 이창수 전 중앙지검장 첫 소환. 국민의힘, 서울 등 6곳 선거 소청 의결… 오세훈 입장은?"
455,,06-17 06:18,128.5,경제,8,6,1,,,2027년 국민참여예산 요구 3813억원…전년比 12.8배↑
456,,06-17 06:18,128.5,국제,7,1,2,,,"이란 매체, 미·이란 MOU 초안 공개…미사일 문제는 배제"
457,,06-17 06:18,128.5,사회,6,4,0,,,낮 최고 32도 무더위…전국 곳곳 소나기
458,,06-17 06:18,128.5,국제,6,4,2,,,네타냐후 “레바논 남부서 필요한 만큼 주둔”…종전 MOU 비판은 자제
459,,06-17 06:18,128.5,정치,5,2,2,,,김명수 前합참의장 구속영장 기각…“범죄혐의 다툼 여지 있다”
460,,06-17 06:03,128.8,,6,5,2,,,"G7, 美·이란 종전 합의에 러 '우크라戰 종식' 압박 강화(종합)"
461,,06-17 05:32,129.3,국제,5,1,2,,,네타냐후 “싸움 아직 안끝나... 레바논 계속 주둔할 것”
462,,06-17 05:18,129.5,사회,11,8,1,,,집회 참가자 1명에 막혀... 잠실 개표소 못 들어갔다
463,,06-17 05:18,129.5,국제,5,5,2,,,미·이란 종전에 뉴욕증시 상승 마감… 다우지수 사상 최고치
464,,06-17 05:03,129.8,국제,7,1,2,,,"미국, 전자서명까지 마친 MOU 아직 비공개···해협 통행료는 일단 60일만 무료"
465,,06-17 05:03,129.8,국제,5,2,2,,,[미·이란 종전] 트럼프 “호르무즈 통행료는 없어”… 이란 입장과 배치
466,,06-17 04:47,130.0,국제,10,3,2,,,트럼프 합의에 공화당 내에서도 “이란에 항복했다” 비판···중간선거 앞두고 당내 혼란 커져
467,,06-17 04:47,130.0,국제,9,2,3,,,"美 B-52 폭격기, 이륙 직후 추락…“탑승자 전원 사망 추정”"
468,,06-17 04:47,130.0,사회,5,3,2,,,‘서해 공무원 피살’ 서훈·김홍희 항소심도 무죄
469,,06-17 04:32,130.3,정치,14,2,2,,,"국민의힘 ""전면 재선거 결정""…서울 등 6개 지역 선거소청 제기"
470,,06-17 04:32,130.3,,5,2,2,,,"스위스 외무부 ""19일 뷔르겐슈토크서 종전 MOU 서명식"""
471,,06-17 03:32,131.3,정치,10,9,1,,,"한병도, 국힘 재선거 소청에 “국민 참정권 제 손으로 짓밟는 자가당착”"
472,,06-17 02:48,132.0,국제,12,2,2,,,"“美, 이란 석유 판매 19일부터 허용…韓 기업 등이 출자한 3000억달러 재정 지원도”"
473,,06-17 02:48,132.0,국제,9,3,2,,,"트럼프, 종전 MOU 전자 서명… “호르무즈 해협 통행료 없다” 주장"
474,,06-17 02:02,132.8,정치,7,12,2,,,李 “중동처럼 北문제 해결 주도해달라”... 트럼프 “노력하겠다”
475,,06-17 01:48,133.0,경제,11,1,2,,,"트럼프 ""호르무즈, 19일 완전 개방…MOU 서명식 참석할수도""(종합)"
476,,06-17 01:32,133.3,,5,2,1,,,"정청래, 李대통령 과거 발언 거론하며 ""당의 주인은 당원""(종합)"
477,,06-17 01:03,133.8,,14,2,2,,,"국힘, 최고위서 서울시장 등 전국 6곳 선거 소청 의결"
478,,06-17 01:03,133.8,국제,11,,2,,,미·이란 MOU 비대면 서명…호르무즈 재개방에 유가 급락
479,,06-17 00:47,134.0,사회,13,3,2,,Y,"음주강요 극단선택 의혹 20대 소방관… 경찰, 사망 원인 내사 착수"
480,,06-17 00:47,134.0,정치,5,14,2,Y,,"[속보]이 대통령, G7 계기 독일 총리와 양자회담"
481,,06-17 00:32,134.3,,7,6,2,,,"스페이스X, AI코딩 기업 ‘커서’ 90조원에 인수… 시총 아마존 제치고 5위"
482,,06-17 00:32,134.3,,5,4,0,,,[월드컵 중간순위] J조(17일)
483,,06-17 00:18,134.5,사회,14,,2,,,‘연어 술자리’ 현장 검증… 이화영 진술 신빙성 놓고 공방
484,,06-16 23:33,135.3,국제,11,,2,,,이란 “동결 자금 해제부터” 美 “협상이 먼저”… 본게임은 이제 시작
485,,06-16 23:03,135.8,정치,11,,2,,,"李대통령, 중동 협상 타결 환영… “호르무즈 해협 자유롭고 안전한 항행 위해 역할 다할 것”"
486,,06-16 23:03,135.8,사회,6,1,2,,,"'국가보안법 위반 혐의' 민중민주당 간부 구속심사…""北 연관 없다""(종합)"
487,,06-16 22:48,136.0,국제,12,,0,,,"뉴욕증시, 미국·이란 종전 합의에 상승 출발"
488,,06-16 22:32,136.3,경제,12,,0,Y,,"[속보]뉴욕증시, 美-이란 종전합의에 급등 출발…나스닥 2.3%↑"
489,,06-16 22:17,136.5,국제,5,3,3,,,"푸틴 풍자하던 러시아 망명 화가, 폴란드서 7발 총격 피살"
490,,06-16 21:32,137.3,,14,,2,,,"개혁신당, 서울시장 포함 선거 18건에 ‘선별적 재선거’ 소청"
491,,06-16 21:32,137.3,국제,12,,2,,,트럼프 “유조선 호르무즈 통과 중”···이란-미국 MOU에 헤즈볼라도 “환영” 성명
492,,06-16 21:17,137.5,정치,16,,2,,,"국힘, 6곳 재선거 소청…당내서도 ‘반발’"
493,,06-16 21:17,137.5,국제,6,3,0,,,[특징주] 철강주 동반 급등…‘454조 이란 재건’ 수혜 기대
494,,06-16 20:47,138.0,국제,12,,2,,,19일 호르무즈 개방 예고했지만…정상화까진 ‘최소 수주일’
495,,06-16 20:32,138.3,정치,16,,2,,,"특검, ‘김건희 주가조작 봐주기 의혹’ 이창수 첫 소환"
496,,06-16 20:32,138.3,사회,7,3,0,,,낮 최고 32도 무더위…전국 곳곳 소나기
497,,06-16 20:32,138.3,정치,7,,2,,,"이 대통령, 교황 면담…방북 가능성 포함 한반도 평화·화해 방안 논의"
498,,06-16 20:17,138.5,정치,14,,2,,,"전북교육감 선거 1104표 누락 사태, 경찰 선관위 조사"
499,,06-16 20:17,138.5,국제,12,,2,,,이란 매체 “MOU 합의문에 호르무즈 통행료 징수권 명시···미사일·대리세력은 삭제”
500,,06-16 20:17,138.5,경제,8,3,0,,,‘고공행진’ 하이닉스의 힘…SK그룹도 시총 2000조원 돌파
501,,06-16 20:17,138.5,사회,6,,2,,,쿠팡 ‘동일인 지정 집행정지’ 심문기일… 김범석 동생의 실질적 경영 ‘최대 쟁점’
502,,06-16 20:17,138.5,경제,6,,2,,,내년 최저임금 1만2000원 꺼낸 노동계…경영계와 충돌 예고
503,,06-16 20:03,138.8,국제,12,,2,,,"이란 “美, 호르무즈 징수권 수용” 주장…美와 해석 차"
504,,06-16 20:03,138.8,사회,5,,2,,,월소득 519만원 미만 국민연금 안 깎는다…감액분 7월부터 환급
505,,06-16 19:47,139.0,정치,15,,2,,,"국민의힘, 서울 등 6개 지역 재선거 소청…오세훈 측 “사전 논의 없는 일방적 결정”"
506,,06-16 19:47,139.0,정치,12,4,2,,,"이 대통령, 프랑스 G7 정상회의 참석···트럼프도 만날까"
507,,06-16 19:47,139.0,정치,12,,2,,,"정부, 미·이란 종전 합의에 “평화 회복 위한 중요한 진전”"
508,,06-16 19:47,139.0,경제,11,10,2,,,"""美, 455조원 이란 재건 펀드 검토…한국 기업도 관심"""
509,,06-16 19:47,139.0,국제,10,,2,,,"WSJ ""트럼프 이란 합의는 목표보다 후퇴…핵 문제 미뤄"""
510,,06-16 19:47,139.0,국제,9,1,3,,,美 본토서 B-52 폭격기 이륙 직후 추락…인명 피해 파악중
511,,06-16 19:47,139.0,경제,8,3,1,,,스페이스x 상장 이튿날도 19% 급등…시총 3790조원 넘어
512,,06-16 19:47,139.0,,7,,2,,,"쿠팡 ""되돌릴 수 없는 손해"" vs 공정위 ""규제 공백은 회복 불가""...'김범석 동일인 지정' 법정 공방"
513,,06-16 19:47,139.0,경제,7,1,2,,,전쟁 인플레에 EU 이어 日 금리 올려…韓도 인상 힘실려
514,,06-16 19:47,139.0,사회,7,,2,,,"종합특검, ‘관저 이전 감사 무마 의혹’ 감사원 간부 구속영장 청구"
515,,06-16 19:47,139.0,경제,7,4,2,,,"일본은행, 기준금리 1%로 0.25%p 인상…31년 만에 최고"
516,,06-16 19:47,139.0,경제,7,2,1,,,"삼전보다 삼성생명, 하닉 대신 SK스퀘어…수혜주로 퍼지는 반도체 랠리"
517,,06-16 19:47,139.0,정치,7,,2,,,"李대통령, 교황 만나 ‘남북관계 중재역’ 요청"
518,,06-16 19:47,139.0,경제,6,2,1,,,"한화, KAI 지분율 9.04%로 2대 주주 올라서... 올 연말까지 5000억 추가 매입"
519,,06-16 19:47,139.0,,6,,2,,,국민연금 감액 기준 519만원으로 상향…10만명 연금 더 받는다
520,,06-16 19:47,139.0,정치,5,6,1,,,"국민의힘, 선관위 ‘몰디브 외유성 출장’ 합수본에 고발"
521,,06-16 19:47,139.0,,5,,1,,,내년 국민참여예산 43개 사업에 3813억원 요구⋯올해대비 3배 늘어
522,,06-16 19:47,139.0,정치,5,,1,,,"이언주 ""鄭 '정권 짧다' 발언 치명적…李대통령 vs 정청래 구도 전환"""
523,,06-16 19:47,139.0,정치,5,1,1,,,조국혁신당 새 원내대표에 김준형 의원…“정치공학적 합당 거부”
524,,06-16 19:47,139.0,사회,5,,1,,,강남 한복판서 프로포폴 소지한 채 쓰러진 30대 女...경찰 내사 착수
525,,06-16 19:32,139.3,정치,20,,2,,,"선관위 진상규명위 “서울시 선관위, 투표용지 부족 예상됐는데도 안일 대응···책임 추궁 필요”"
526,,06-16 19:32,139.3,,5,,0,,,‘제21회 전국장애인도예공모전’ 개최‥7월 13~30일까지 접수
527,,06-16 19:02,139.8,국제,20,,2,,,미·이란 종전 합의에 이란 내부서 반발···“재앙적 항복”
528,,06-16 18:47,140.0,사회,20,,2,,,"인천 훼손 시신… 국과수, “키 161~165㎝, 성인 추정”"
529,,06-16 18:47,140.0,정치,6,,1,,,"유시민 ""노무현재단 떠난다…내가 할 비평 때문에 겪을 어려움 예방차"""
530,,06-16 18:33,140.3,사회,19,,2,,,국립대병원 ‘빅5′ 수준 육성… 동남권은 외상-호남권은 AI 특화
531,,06-16 18:17,140.5,정치,20,,2,,,국힘 “서울·경기·부산 등 6곳 재선거 소청”
532,,06-16 18:02,140.8,정치,20,,1,,,“이 대통령은 월드클래스 지도자” 높아지는 당·청 긴장감 속 몸 낮춘 정청래…연임 도전에 무게
533,,06-16 17:47,141.0,사회,20,,1,,,유승민 대한체육회장 “잠실 시위대 법적 대응 검토...공권력 행사 요청”
534,,06-16 17:47,141.0,경제,5,1,2,,,인터넷은행 3사도 ‘빚투’ 차단 나선다… 신용대출 한도 줄이고 ‘마통’ 판매중단
535,,06-16 17:47,141.0,경제,5,,2,,,파업 수순 밟는 현대차 노조…24일 쟁의행위 찬반투표
536,,06-16 17:33,141.3,사회,19,,2,,,종합특검 “나경원 ‘尹 체포방해’ 소환 통보” 羅 측 “서면 답변서 제출”
537,,06-16 17:33,141.3,경제,8,,0,,,"곽동신 한미반도체 회장, 80억 규모 자사주 취득 완료"
538,,06-16 17:33,141.3,,7,,1,,,토론회에서 국힘 후보 ‘모두발언 누락’ 대전MBC 중징계 피해
539,,06-16 17:33,141.3,사회,5,1,0,,,"화우·한경협, '전환기 한국, 기업 과제와 기회' 세미나 개최"
540,,06-16 17:33,141.3,국제,5,,2,,,피투성이 격투장 된 백악관… “검투사로 대중 현혹하던 로마 떠올라”
541,,06-16 17:17,141.5,경제,20,,2,,,"중동전쟁 종전에 재건사업 열리나…""이란 제재 해제 변수"""
542,,06-16 17:17,141.5,국제,6,,1,,,관객 “링컨도 격투기 즐겼잖나”…경기장 밖 “수치스럽다” 시위
543,,06-16 17:02,141.8,사회,20,,1,,,"“친한 경찰 통해 단속 정보 주겠다” 속여 돈 가로챈 60대, 집유"
544,,06-16 17:02,141.8,국제,5,5,2,,,"美, 첨단 AI 외국인 접속 차단… “中 연계 의심 한국통신사 탓”"
545,,06-16 17:02,141.8,정치,5,1,1,,,"김정은, 시진핑 73세 생일 축하 축전·꽃바구니 보내"
546,,06-16 16:47,142.0,정치,20,,2,,,"“서울 전면 재선거 소청해야” 장동혁, 긴급 최고위원회 소집"
547,,06-16 16:47,142.0,사회,10,,2,,,법원 내부망으로 ‘밀양 성폭행’ 가해자 정보 조회…직원 검찰 송치
548,,06-16 16:47,142.0,정치,6,,1,,,"유시민, 노무현재단 떠난다···“앞으로 할 정치 비평 때문”"
549,,06-16 16:33,142.3,국제,20,,3,,,"중동 전운 걷히나…트럼프 “이란과 합의 완료, 호르무즈 개방”"
550,,06-16 16:33,142.3,,10,,3,,,"중앙홀딩스·콘텐트리중앙·메가박스 기업회생 신청… 홍정도, 오후 긴급 기자회견"
551,,06-16 16:17,142.5,국제,20,,2,,,미·이란 모두 한계···유가 폭등·민심 폭발이 종전 MOU 끌어내
552,,06-16 16:17,142.5,경제,8,,2,,,개미들 돈줄 ‘마통’ 또 줄인다…카뱅 한도 2.4억→1억 축소
553,,06-16 16:02,142.8,정치,20,,2,,,"개혁신당, 서울·부산·경기 등 18곳 ‘선별적 재선거’ 선거소청 제기"
554,,06-16 16:02,142.8,정치,6,,2,,,"與한정애 ""K-스틸법·대미투자특별법 이번 주 시행…韓기업 글로벌 도약 뒷받침"""
555,,06-16 16:02,142.8,정치,6,,1,,,유시민 “노무현재단 떠나겠다”…재단 사유화 비판 의식한 듯
556,,06-16 15:33,143.3,국제,20,,2,,,"이스라엘, 레바논 베이루트 공습...트럼프 강력 비난"
557,,06-16 15:33,143.3,,6,,0,,,"""월드컵 응원 땐 아리수 마셔요""… 서울시 '물든악마 응원단' 유튜브 콘텐츠 선봬"
558,,06-16 15:17,143.5,정치,9,2,3,Y,,[속보]‘서해 공무원 피격’ 서훈·김홍희 항소심 무죄 선고
559,,06-16 15:17,143.5,사회,5,,1,,,피싱 피해금 코인으로 환전한 20대…국민참여재판서 ‘만장일치 유죄’
560,,06-16 15:03,143.8,정치,20,,1,,,성조기 몸에 두르고 참관한 40대 선거운동원 벌금 200만원 선고
561,,06-16 15:03,143.8,정치,7,,2,,,"[단독]'서울대 10개 만들기' 핀셋지원에…총장들 ""서열화 우려"""
562,,06-16 14:47,144.0,국제,20,,2,,,스페이스X 성공적 IPO에도 긴장한 월가… 시장은 워시 첫 메시지에 촉각
563,,06-16 14:47,144.0,국제,6,1,2,,,"EU, 우크라이나 가입 절차 공식 개시···“중대한 이정표”"
564,,06-16 14:32,144.3,국제,20,,1,,,트럼프 “오바마는 전쟁 없이 더 많이 얻어냈다” 비판에...
565,,06-16 14:32,144.3,국제,10,,2,,,"'美민주 잠룡' 뉴섬 ""트럼프, 법무부에 나와 아내 조사 지시"""
566,,06-16 14:32,144.3,사회,7,,2,,,"서울시, 일일 언론 스크랩서 “MBC 제외”"
567,,06-16 14:17,144.5,경제,20,,0,,,"키움증권, 국내 주식형 펀드 사면 쿠폰·경품 지급"
568,,06-16 14:17,144.5,경제,6,,0,,,406마력으로 주행 안정성↑… 온-오프로드 어드벤처 SUV
569,,06-16 14:03,144.8,정치,21,,2,,,"李대통령, ‘잠실 봉쇄 시위’ 강경 대응 지시… “사적 검문·업무방해 행위자 및 공모자 엄중 수사”"
570,,06-16 13:47,145.0,,11,,2,,,"이 대통령 순방중 ‘여당 질책’ 1면…한겨레·동아 “청, 정청래에 격앙”"
571,,06-16 13:47,145.0,사회,10,,2,,,최태원·노소영 2년여만에 만났다... 4배 뛴 SK 주식이 재산분할 쟁점
572,,06-16 13:47,145.0,경제,7,,1,,,"두산에너빌, 5300억원 규모 오만 두큼 가스복합발전소 수주"
573,,06-16 13:47,145.0,경제,5,1,3,,,인천 서구 기계제조공장 화재 8시간째 진화…“25개 공장 불에 타”
574,,06-16 13:47,145.0,국제,5,,1,,,메타 상대 SNS 중독 소송 승소 변호사 “비결은 AI”
575,,06-16 13:47,145.0,정치,5,,1,,,"안민석 “말보다 준비와 실천, 성과로 경기교육대전환 시작”…인수위 공식 출범"
576,,06-16 13:32,145.3,국제,20,,2,,,트럼프 텃밭 美 농촌 민심도 ‘냉랭’… “기름값·장바구니 부담”
577,,06-16 13:17,145.5,국제,11,,3,,,美 본토서 B-52 폭격기 이륙 직후 추락…인명 피해 파악중
578,,06-16 13:03,145.8,국제,21,,0,,,"UFC 선수, 트럼프 앞 황당한 수상 소감… “미셸 오바마는 남자다”"
579,,06-16 12:47,146.0,국제,12,,2,,,"스위스, ‘인구 1000만 상한’ 反이민 국민투표 부결"
580,,06-16 12:47,146.0,정치,8,,1,,,"정영두 김해시장직 인수위 업무보고…""핵심 과제 발굴"""
581,,06-16 12:47,146.0,사회,8,,2,,,"노동계, 최저임금 최초 요구안 1만 2000원…""노동소득으로 살 수 있어야"""
582,,06-16 12:47,146.0,경제,6,2,1,,,"""취업 시켜줄게 중고차 대출받아라?""…금융사기 주의보 발령"
583,,06-16 12:47,146.0,경제,6,,2,Y,,[속보]수도권 레미콘 파업 종료 수순…2차 잠정합의안 가결
584,,06-16 12:47,146.0,,6,,1,,,"부결된 도급제 최저임금, 논의 ‘불씨’ 살아날까"
585,,06-16 12:47,146.0,,5,,1,,,"'항공사 동료 기장 살해' 김동환, 국민참여재판 요청 철회"
586,,06-16 12:47,146.0,사회,5,,1,,,"양대노총 ""국민 88.3% 정년연장 찬성…즉각 법제화해야"""
587,,06-16 12:47,146.0,경제,5,,2,,,신용대출 빗장에 ‘마통 오픈런’ 뛴다...인뱅 3사도 일제히 신규 대출 한도 제한
588,,06-16 12:47,146.0,경제,5,,0,,,"대상 청정원, '저당 홍초' 신제품 3종 출시…저당 라인업 강화"
589,,06-16 12:32,146.3,국제,21,,2,,,"2차대전 패전국 독일·일본, 전후 최대 규모 재무장···80년 안보 질서 흔들리나"
590,,06-16 12:32,146.3,국제,13,,3,,,"미 스카이다이버 탑승 경비행기 추락, 전원 사망"
591,,06-16 12:32,146.3,정치,11,,2,,,"鄭 ""정권 짧다"" 발언에 청와대 격앙…""당 쪼개잔 거냐"" ""李대통령 탄핵 협박이냐"""
592,,06-16 12:32,146.3,사회,10,,3,,,‘서해 피격’ 서훈·김홍희 오늘 2심 선고…1심 무죄
593,,06-16 12:32,146.3,정치,9,,2,Y,,"[속보]김준형, 조국혁신당 신임 원내대표로 합의 추대"
594,,06-16 12:32,146.3,사회,7,,1,,,태국인 아내 얼굴에 끓는물 부은 남편 징역 3년6개월 선고
595,,06-16 12:32,146.3,사회,7,,1,,,‘대구 청소년 노동인권 조례’ 9년 만에 제정 눈앞
596,,06-16 12:19,146.5,,6,,0,,,오늘 낮 최고 32도 '한여름 더위'...전국 곳곳 소나기
597,,06-16 12:03,146.8,,24,,0,,,"[뉴공 아카이브]겸손NSC: 미·이란 MOU 합의 임박… 전자서명으로 종전? 미·이란 종전 임박에도… 이스라엘, 레바논 대공습 이유는? 북한, 한·EU 공동성명 비난 “한국은 적대국 원칙 불변” 트럼프, 8년 전 북미정상회담 사진 게시… 배경은?"
598,,06-16 12:03,146.8,사회,6,,0,,,"아버지 박서보 떠나고 ‘시니어하우스’ 택한 엄마 “브라보, 마미 라이프!”"
599,,06-16 11:48,147.0,사회,20,,1,,,"경찰, 연예기획사 대표 차가원 구속영장 신청"
600,,06-16 11:33,147.3,국제,21,,2,,,미·이란 종전 합의에도 남은 과제… ‘60일 핵협상’ 시험대
601,,06-16 11:33,147.3,경제,7,,0,,,"인도서 한인 창업가 연결…중기부, ‘K-파운더 네트워크’ 포럼 개최"
602,,06-16 11:33,147.3,경제,7,,1,,,24시간 동안 5069㎞ 버텼다
603,,06-16 11:33,147.3,경제,7,,2,,,"정용진, ‘탱크데이’ 28일 만에 전면 쇄신… 스벅 전 임직원 역사교육"
604,,06-16 11:17,147.5,경제,21,,0,,,"현대차, 전기차 장기 구독 ‘360일 플랜’ 출시… “합리적 전기차 구독 생활”"
605,,06-16 11:17,147.5,,10,,2,Y,,[속보] 지하철 6호선 안암역 가스 유출…양방향 무정차 통과
606,,06-16 11:17,147.5,,5,,1,,,"""약자 편에 서라"" 가르친 아버지…3명 살리고 하늘로"
607,,06-16 11:03,147.8,정치,21,,2,,,"與 “선관위, 기강 해이 극에 달해… 국조특위 즉각 가동”"
608,,06-16 10:47,148.0,경제,21,,0,,,"한전KDN, 안전 패러다임 전환…현장 밀착형 과제 도출"
609,,06-16 10:47,148.0,국제,6,,0,,,"명승부 뒤 명품 매너…네덜란드전 후 관중석 치운 일본 팬들, FIFA도 반했다"
610,,06-16 10:33,148.3,정치,20,,1,,,"정청래 “李대통령, 월드클래스의 세계적 지도자”... 추켜세우며 갈등설 진화?"
611,,06-16 10:33,148.3,경제,6,,2,,,"노동계, 내년 최저임금 1만2000원 요구…""최소한 생존 비용""(종합)"
612,,06-16 10:33,148.3,사회,6,,1,,,"추경호 당선인, 전문가·시민과 함께 공약 실행 방안 구체화 나서"
613,,06-16 10:33,148.3,사회,6,,0,,,‘폭염의 시간’ 시작... 주말까지 최고 34도
614,,06-16 10:17,148.5,경제,21,,0,,,"DL이앤씨, 목동6단지 '아크로 목동리젠시' 홍보관 개관"
615,,06-16 10:17,148.5,사회,13,,2,,,오늘 '서해 피격 은폐 의혹' 서훈 항소심 선고…1심 무죄
616,,06-16 10:02,148.8,국제,21,,2,,,"[미·이란 종전] “이란, 트럼프 생일 피하려 자정까지 기다려”"
617,,06-16 09:48,149.0,국제,24,,2,,,"줄 없이 던져진 21세 여성, 40m 아래로 추락 사망… 로프점프 안전사고에 브라질 ‘발칵’"
618,,06-16 09:48,149.0,경제,20,,2,,,서울 아파트 거래 중 13%는 20억 이상…강남3구 급증
619,,06-16 09:33,149.3,국제,21,,3,,,106일 만에 멈춰선 미·이란 전쟁···세계 각국 “대환영”
620,,06-16 09:18,149.5,경제,20,,2,,,상용직 근로자 26년5개월 만에 첫 감소… AI 확산 영향
621,,06-16 09:18,149.5,사회,9,,1,,,전국 야구장 매장 99% 일회용품 사용···다회용기 도입 대구·광주가 가장 적어
622,,06-16 09:03,149.8,,6,,3,,,인천 서구 원창동 공장 밀집지역 대형 화재 발생
623,,06-16 08:47,150.0,경제,21,,2,,,정용진 회장·스타벅스 전 직원 ‘역사인식교육’ 받는다···22일 오후 3시 모든 매장 조기 영업종료 후 진행
624,,06-16 08:47,150.0,,8,,3,,,인천 서구 기계제조 공장 화재 확산…20여개 동으로 옮겨붙어(종합)
625,,06-16 08:32,150.3,국제,21,,2,,,"젤렌스키·푸틴, 생일 맞은 트럼프와 통화···전쟁 상황 논의"
626,,06-16 08:32,150.3,사회,14,,2,,,JTBC·중앙홀딩스 등 중앙그룹 계열사 4곳 법원에 ‘회생절차’ 신청
627,,06-16 08:32,150.3,경제,6,,0,,,"키움증권, 국내 주식형 펀드 투자 이벤트…갤럭시탭 등 경품"
628,,06-16 08:17,150.5,국제,21,,2,,,밴스 美부통령 “서명 행사에 트럼프 참석할 수도”
629,,06-16 08:08,150.7,국제,21,,2,,,밴스 美 부통령 “서명식에 트럼프 참석할 수도”
630,,06-16 08:03,150.8,국제,21,,3,,,"106일 이란戰, 트럼프 80세 생일에 마침표… 호르무즈 전면 개방"
631,,06-16 07:48,151.0,국제,21,,3,Y,,"[속보] 트럼프 ""19일 합의 체결 즉시 호르무즈해협 개방"""
632,,06-16 07:48,151.0,경제,7,,0,,,"재경부, 2026 경제캠프 개최…학생 참가자 960명 모집"
633,,06-16 07:32,151.3,국제,21,,3,,,이란도 美와 협상 타결 확인… “오늘 밤부터 여러 전선의 전쟁 즉각적 영구중단”
634,,06-16 07:17,151.5,국제,21,,3,Y,,[속보]이란 최고국가안보회의 “오늘 밤부터 여러 전선 전쟁 즉각적 영구중단”
